ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT281,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,,CERTIFICADO,produccion,Produccion, Yuh-dak 7,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT282,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,,CERTIFICADO,produccion,Produccion, Yuh-dak 7,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT283,Pressure Gage ,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,0,5000psi,,CERTIFICADO,produccion,Produccion,MILES 2,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT288,Hypot III AC,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,N/A,N/A,GO,NO GO,9381144,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,DEN-6428-000,N/A,,Calibración Vigente,,,0,1,365.00,,,40850,2 de November del 2012,R&R Pendiente,R&R Actualizado,,44140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT289,Hypot III AC,01/04/2020,01/04/2021,12/03/2021,Activo,EXTERNO,N/A,N/A,GO,NO GO,9381122,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,COT-5552-000,N/A,,Calibración Vencida,,,0,1,365.00,,,40851,3 de November del 2012,R&R Pendiente,R&R Actualizado,,43915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT290,Comparador óptico,05/01/2021,06/01/2022,17/12/2021,Activo,EXTERNO,N/A,N/A,X -200 mm,Y -100 mm,G00171506,CERTIFICADO,Calidad,Calidad,Moldeo,N/A,,Calibración Vigente,,,0,1,366.00,365.00,,,14 de octubre del 2014,14 de octubre del 2015,R&R Actualizado,365,,15 de enero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT291,Comparador óptico,05/01/2021,06/01/2022,17/12/2021,Reparacion,EXTERNO,N/A,N/A,X -200 mm,Y -100 mm,G00061502,CERTIFICADO,Calidad,Calidad,Estampados,N/A,,Reparacion,,FLOME,0,1,366.00,365.00,,,14 de octubre del 2014,14 de octubre del 2015,R&R Actualizado,365,,15 de enero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT292,Hypot III AC,09/10/2020,09/10/2021,19/09/2021,Activo,EXTERNO,N/A,N/A,GO,NO GO,9750013,VER CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,BOS-7370,N/A,,Calibración Vigente,,,0,1,365.00,,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT293,Termopar de contacto,26/01/2021,26/01/2022,06/01/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,N/A,CERTIFICADO,Eduardo marquez,Eduardo marquez,Procesos (Moldeo),N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,0.00,,,15 de noviembre del 2011,15 de noviembre del 2011,R&R Actualizado,365,,21 de enero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT295,TERMOMETRO,11/03/2021,11/03/2022,19/02/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,150308765,CERTIFICADO,Eduardo Marquez,Eduardo Marquez,Procesos,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,0.00,,,4 de noviembre del 2011,4 de noviembre del 2011,R&R Actualizado,365,,22 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT296,Termopar de contacto,26/01/2021,26/01/2023,06/01/2023,Activo,EXTERNO,N/A,N/A,N/A,N/A,N/A,CERTIFICADO,procesos,Eduardo Marquez,Procesos ,N/A,,Calibración Vigente,,,0,1,730.00,0.00,,,15 de noviembre del 2011,15 de noviembre del 2011,R&R Actualizado,730,,6 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT297,Termopar de contacto,07/02/2020,06/02/2021,17/01/2021,Activo,EXTERNO,N/A,N/A,-40°C,500°C,N/A,CERTIFICADO,Eduardo Marquez,Eduardo Marquez,Procesos,N/A,,Calibración Vencida,Marc instruments,,0,1,365.00,0.00,,,15 de noviembre del 2011,15 de noviembre del 2011,R&R Actualizado,365,,22 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT298,Termopar de contacto,07/02/2020,06/02/2021,17/01/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,N/A,CERTIFICADO,Eduardo Marquez,Eduardo Marquez,Procesos,N/A,,Calibración Vencida,Meril,,0,1,365.00,0.00,,,15 de noviembre del 2011,15 de noviembre del 2011,R&R Actualizado,365,,22 de febrero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT299,Báscula Ohaus,15/01/2021,15/01/2022,26/12/2021,Activo,INTERNO,N/A,N/A,0.0001 g,320.0 g,,CERTIFICADO,Eduardo marquez,Eduardo marquez,Procesos,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40920,11 de January del 2013,R&R Pendiente,R&R Actualizado,,44204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT300,Termopar de contacto,05/01/2021,05/01/2022,16/12/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,N/A,CERTIFICADO,Eduardo marquez,Eduardo marquez,Procesos,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,0.00,,,4 de noviembre del 2011,4 de noviembre del 2011,R&R Actualizado,365,,21 de enero del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT301,"Calibrador  0-8""",19/01/2021,19/01/2022,30/12/2021,Activo,INTERNO,0.0005,0.0005,0,"8""",A15002307,INT062,OSCAR GALINDO ,OSCAR GALINDO ,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,40949,9 de February del 2013,R&R Pendiente,R&R Actualizado,,44208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT302,Calibrador digital,17/01/2021,17/01/2022,28/12/2021,Activo,INTERNO,0.0005,0.0005,0,"8""",A15002341,INT062,Rafael de la cruz,Rafael de la cruz,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,40963,23 de February del 2013,R&R Pendiente,R&R Actualizado,,44206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT303,Micrómetro digital,18/01/2021,18/01/2022,29/12/2021,Activo,INTERNO,NA,NA,0,"1""",63292201,INT062,Rafael de la cruz,Rafael de la cruz,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41628,20 de December del 2014,R&R Pendiente,R&R Actualizado,,44207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT304,Micrómetro digital,30/01/2021,30/01/2022,10/01/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",63098230,INT062,Bernardo Monroy,Bernardo Monroy,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41628,20 de December del 2014,R&R Pendiente,R&R Actualizado,,44219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT305,Micrómetro digital,24/02/2021,24/02/2022,04/02/2022,Activo,INTERNO,".0005""",".0005""","1""","2""",A15002307,INT062,Juan Gonzalez,Juan Gonzalez,Taller,NA,,Calibración Vigente,,,0,1,365.00,0.00,,,13 de abril del 2012,13 de abril del 2012,R&R Actualizado,366,,9 de marzo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT306,Micrómetro digital (5D),10/02/2021,10/02/2024,21/01/2024,Activo,INTERNO,".0005""",".0005""",0,"1""",65042160,INT062,Metrología,metrologia,metrologia,NA,,Calibración Vigente,,,0,1,1095.00,,,41044,15 de May del 2015,R&R Pendiente,R&R Actualizado,,44230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT307,Calibrador digital,02/02/2021,02/02/2022,13/01/2022,Activo,INTERNO,".0005""",".0005""",0,"8""",A15493506,INT062,Bernardo Monroy,Bernardo Monroy,TALLER,NA,,Calibración Vigente,,,0,1,365.00,,,41044,15 de May del 2013,R&R Pendiente,R&R Actualizado,,44222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT308,Calibrador digital,22/03/2019,21/03/2020,01/03/2020,Baja,INTERNO,NA,NA,0,"6""",,INT062,Metrología,Adela Flores/ Juan Diaz,Metrología,NA,,Baja,,,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,43539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT309,Micrómetro digital,19/02/2021,19/02/2022,30/01/2022,Activo,INTERNO,NA,NA,0,"1""",63116969,INT062,Luis Cruz,Luis Cruz,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,40946,6 de February del 2013,R&R Pendiente,R&R Actualizado,,44239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT310,Micrómetro digital,01/02/2021,01/02/2022,12/01/2022,Activo,INTERNO,NA,NA,0,"1""",63116892,INT062,laboratorio Metrologia,metrologia,metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT311,Báscula TORREY,10/01/2020,09/01/2021,20/12/2020,Extraviado,INTERNO,.2g,.2g,2gm,20 kg,K12-600,INT088,produccion,produccion,Linea COT-3266-000 Chende,NA,,Extraviado,,,0,1,365.00,,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,43833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT312,Micrómetro digital,16/04/2021,16/04/2022,27/03/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",45177915,INT062,Sergio Arredondo,Sergio Arredondo,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41064,4 de June del 2013,R&R Pendiente,R&R Actualizado,,44295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT313,Micrómetro digital,03/02/2021,03/02/2022,14/01/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"2""",63084167,INT062,Jesus Rubio,Jesus Rubio,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41064,4 de June del 2013,R&R Pendiente,R&R Actualizado,,44223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT315,Hypot III AC,10/06/2020,10/06/2021,21/05/2021,Activo,EXTERNO,N/A,N/A,GO,NO GO,9991770,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Linea HEL-6798 10R/6725GF9,N/A,,En Proceso de Calibración,,,0,1,365.00,,,41092,2 de July del 2013,R&R Pendiente,R&R Actualizado,,43985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT316,"Micrómetro digital 0-1""",22/04/2021,22/04/2022,02/04/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",63080693,INT062,Juan Gonzalez,Juan Gonzalez,Taller,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,2 de julio del 2012,2 de julio del 2013,R&R Actualizado,365,,16 de abril del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT317,"Micrómetro digital 0-1""",20/05/2021,20/05/2022,30/04/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",63080682,INT062,Vicente Vega,Vicente Vega,Automatización,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,2 de julio del 2012,2 de julio del 2013,R&R Actualizado,365,,16 de abril del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT318,"Micrómetro digital 0-1""",05/02/2021,05/02/2022,16/01/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",63080689,INT062,Metrologia-Calidad,Metrologia-Calidad,laboratorio Metrologia,NA,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT319,Micrómetro digital,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"1""",63080668,INT062,Cesar Montes,Cesar Montes,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT320,Calibrador digital,22/04/2021,22/04/2022,02/04/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",14548982,INT062,Jesus Rubio,Jesus Rubio,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT321,Calibrador digital,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",14549642,INT062,Luis Cruz,Luis Cruz,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41226,13 de November del 2013,R&R Pendiente,R&R Actualizado,,44298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT322,Calibrador digital,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",14548707,INT062,Moises zarate,Moises zarate,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41320,15 de February del 2014,R&R Pendiente,R&R Actualizado,,44298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT323,Calibrador digital,21/04/2021,21/04/2022,01/04/2022,Activo,INTERNO,"0.0005""","0.0005""",0,"8""",14549656,INT062,Sergio Arredondo,Sergio Arredondo,Taller,NA,,Calibración Vigente,,,0,1,365.00,,,41409,15 de May del 2014,R&R Pendiente,R&R Actualizado,,44300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT329,Calibrador digital,19/05/2019,18/05/2020,28/04/2020,Extraviado,INTERNO,".0002""",".0002""",0,1,,INT062,Tomas Gomez,Tomas Gomez,Estampados,NA,,Extraviado,,,0,1,365.00,365.00,,,11 de febrero del 2015,11 de febrero del 2016,R&R Actualizado,365,,11 de mayo del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT330,Hypot,01/04/2020,01/04/2021,12/03/2021,Activo,EXTERNO,NA,NA,N/A,N/A,9991774,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,BOS-6194,NA,,Calibración Vencida,Marc instruments,,0,1,365.00,,,41499,13 de August del 2014,R&R Pendiente,R&R Actualizado,,43915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT331,"Micrómetro digital 1-2""",19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,".0005""",".0005""","1""","2""",63096343,INT062,SERGIO ARREDONDO,SERGIO ARREDONDO,TALLER,NA,,Calibración Vigente,,,0,1,365.00,,,41460,5 de July del 2014,R&R Pendiente,R&R Actualizado,,44298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT332,"Micrómetro digital 1-2""",14/05/2021,14/05/2022,24/04/2022,Activo,INTERNO,".0005""",".0005""","1""","2""",63127586,INT062,Fernando Alferez,Fernando Alferez ,Taller,NA,OK,Calibración Vigente,,FLOME,0,1,365.00,,,41499,13 de August del 2014,R&R Pendiente,R&R Actualizado,,44323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT333,Calibrador digital,05/06/2020,05/06/2021,16/05/2021,Reparacion,INTERNO,".0005""",".0005""",0,"12""",1120899,INT062,antonio valdez ,Antonio valdez,CNC,NA,,Reparacion,,,0,1,365.00,,,41653,14 de January del 2015,R&R Pendiente,R&R Actualizado,,43980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT334,Calibrador de alturas,13/08/2020,13/08/2021,24/07/2021,Activo,EXTERNO,Certificado,Certificado,".001""","20.000""",70981,INT062,Enrique,Mantenimiento,Mantenimiento,NA,,Calibración Vigente,,,0,1,365.00,,,41501,15 de August del 2014,R&R Pendiente,R&R Actualizado,,44049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT336,Indicador Digital,16/06/2020,16/06/2021,27/05/2021,Activo,INTERNO,".001""",".001""",0,".5000""",16030564,INT062,Calidad,Carlos Patiño,Metrología ,NA,,En Proceso de Calibración,,,0,1,365.00,365.00,,,7 de octubre del 2013,7 de octubre del 2014,R&R Actualizado,365,,8 de junio del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT337,Amperímetro de gancho,19/07/2019,18/07/2020,28/06/2020,Extraviado,EXTERNO,NA,NA,,,121000426,CERTIFICADO,Enrique,Luis Enrique,Mantenimiento,NA,,Extraviado,,,0,1,365.00,365.00,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,43658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT338,Indicador Bore Gage,31/07/2018,31/07/2019,11/07/2019,Baja,INTERNO,NA,NA,,,,INT062,Arturo Alvarez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Cold Forging,NA,,Baja,,FLOME,0,1,365.00,365.00,,41554,7 de October del 2014,R&R Pendiente,R&R Actualizado,,43305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT340,Hypot ULTRA 4,10/06/2020,10/06/2021,21/05/2021,Activo,EXTERNO,NA,NA,,,9750034,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion, Linea VAL-6652,NA,,En Proceso de Calibración,,,0,1,365.00,,,41614,6 de December del 2014,R&R Pendiente,R&R Actualizado,,43985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT341,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,NA,NA,,,N/A,CERTIFICADO,Procesos,Israel Gonzalez,Battenfeld 5,NA,,Calibración Vigente,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT342,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,NA,NA,,,N/A,CERTIFICADO,Procesos,Israel Gonzalez,Battenfeld 2,NA,,Calibración Vigente,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT343,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,NA,NA,,,N/A,CERTIFICADO,Procesos,Israel Gonzalez,Battenfeld 3 Linea  HEL-6725-000,NA,,Calibración Vigente,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT344,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,NA,NA,,,N/A,CERTIFICADO,Procesos,Israel Gonzalez,Battenfeld 4,NA,,Calibración Vigente,,,0,1,365.00,,,41656,17 de January del 2015,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
